y[km]     H[nT]    Z[nT]
-1200.     67.6     12.3
 -900.     70.1      5.1
 -600.     62.3     16.3
 -400.     84.5     21.9
 -200.    115.0     28.5
    0.    122.2    -10.3
  200.    104.0    -35.0
  400.     68.5    -39.7
  600.     50.4     -9.8
  900.     55.1      3.0
 1200.     62.4     -5.7
