PREM data
depth[km] rho[kg/m3] g[m/s2]
 198.0 3361.9   9.90
 199.0 3361.8   9.90
 200.0 3361.7   9.90
 201.0 3361.6   9.90
 202.0 3361.4   9.90
 203.0 3361.3   9.90
 204.0 3361.2   9.90
 205.0 3361.1   9.90
 206.0 3361.0   9.90
 207.0 3360.9   9.90
 208.0 3360.8   9.90
 209.0 3360.7   9.90
 210.0 3360.6   9.90
 211.0 3360.5   9.90
 212.0 3360.4   9.90
 213.0 3360.3   9.90
 214.0 3360.1   9.90
 215.0 3360.0   9.90
 216.0 3359.9   9.90
 217.0 3359.8   9.90
 218.0 3359.7   9.90
 219.0 3359.6   9.90
 220.0 3435.8   9.90
 221.0 3436.4   9.91
 222.0 3437.0   9.91
 223.0 3437.6   9.91
 224.0 3438.2   9.91
 225.0 3438.8   9.91
 226.0 3439.4   9.91
 227.0 3440.0   9.91
 228.0 3440.6   9.91
 229.0 3441.1   9.91
 230.0 3441.7   9.91
 231.0 3442.3   9.91
 232.0 3442.9   9.91
 233.0 3443.5   9.91
 234.0 3444.1   9.91
 235.0 3444.7   9.91
 236.0 3445.3   9.91
 237.0 3445.9   9.91
 238.0 3446.5   9.91
 239.0 3447.1   9.91
 240.0 3447.7   9.91
 241.0 3448.3   9.91
 242.0 3448.9   9.91
 243.0 3449.5   9.91
 244.0 3450.1   9.91
 245.0 3450.7   9.91
 246.0 3451.3   9.91
 247.0 3451.9   9.91
 248.0 3452.5   9.91
 249.0 3453.1   9.91
 250.0 3453.7   9.92
 251.0 3454.3   9.92
 252.0 3454.9   9.92
 253.0 3455.5   9.92
 254.0 3456.1   9.92
 255.0 3456.7   9.92
 256.0 3457.3   9.92
 257.0 3457.9   9.92
 258.0 3458.5   9.92
 259.0 3459.1   9.92
 260.0 3459.7   9.92
 261.0 3460.3   9.92
 262.0 3460.9   9.92
 263.0 3461.5   9.92
 264.0 3462.1   9.92
 265.0 3462.6   9.92
 266.0 3463.2   9.92
 267.0 3463.8   9.92
 268.0 3464.4   9.92
 269.0 3465.0   9.92
 270.0 3465.6   9.92
 271.0 3466.2   9.92
 272.0 3466.8   9.92
 273.0 3467.4   9.92
 274.0 3468.0   9.92
 275.0 3468.6   9.92
 276.0 3469.2   9.92
 277.0 3469.8   9.92
 278.0 3470.4   9.92
 279.0 3471.0   9.93
 280.0 3471.6   9.93
 281.0 3472.2   9.93
 282.0 3472.8   9.93
 283.0 3473.4   9.93
