      0.66      -4.18      -5.42      -3.65       1.00       0.00       0.00
      0.66      -3.74      -4.98      -3.21       1.00       0.00       0.00
      0.67      -3.30      -4.55      -2.77       1.00       0.00       0.00
      0.67      -2.86      -4.12      -2.33       1.00       0.00       0.00
      0.68      -2.43      -3.69      -1.90       1.00       0.00       0.00
      0.68      -2.00      -3.26      -1.46       1.00       0.00       0.00
      0.69      -1.57      -2.83      -1.03       1.00       0.00       0.00
      0.69      -1.15      -2.41      -0.61       1.00       0.00       0.00
      0.70      -0.72      -1.99      -0.18       1.00       0.00       0.00
      0.70      -0.30      -1.58       0.24       1.00       0.00       0.00
      0.71       0.11      -1.16       0.66       1.00       0.00       0.00
      0.71       0.53      -0.75       1.07       1.00       0.00       0.00
      0.72       0.94      -0.34       1.49       1.00       0.00       0.00
      0.72       1.35       0.07       1.90       1.00       0.00       0.00
      0.73       1.76       0.47       2.31       1.00       0.00       0.00
      0.73       2.17       0.88       2.72       1.00       0.00       0.00
      0.74       2.57       1.28       3.13       1.00       0.00       0.00
      0.74       2.98       1.68       3.53       1.00       0.00       0.00
      0.75       3.38       2.07       3.93       1.00       0.00       0.00
      0.75       3.78       2.47       4.33       1.00       0.00       0.00
      0.76       4.17       2.86       4.73       1.00       0.00       0.00
      0.76       4.57       3.25       5.12       1.00       0.00       0.00
      0.77       4.96       3.64       5.52       1.00       0.00       0.00
      0.77       5.35       4.03       5.91       1.00       0.00       0.00
      0.78       5.74       4.42       6.30       1.00       0.00       0.00
      0.78       6.12       4.80       6.69       1.00       0.00       0.00
      0.79       6.51       5.18       7.07       1.00       0.00       0.00
      0.79       6.89       5.56       7.46       1.00       0.00       0.00
      0.80       7.27       5.94       7.84       1.00       0.00       0.00
      0.80       7.65       6.32       8.22       1.00       0.00       0.00
      0.81       8.03       6.69       8.60       1.00       0.00       0.00
      0.81       8.41       7.06       8.98       1.00       0.00       0.00
      0.82       8.78       7.43       9.35       1.00       0.00       0.00
      0.82       9.15       7.80       9.72       1.00       0.00       0.00
      0.83       9.52       8.17      10.10       1.00       0.00       0.00
      0.83       9.89       8.54      10.47       1.00       0.00       0.00
